material_identifier,category,material,grade,property_name,value,unit,temperature,field_condition,source_organization,source_title,source_url,publication_date,accessed_date,notes
tdk_n87,high_resistivity_ferrite,MnZn ferrite,SIFERRIT N87,density_kg_m3,4850.0,kg/m^3,typical,not applicable,TDK Electronics AG,SIFERRIT material N87,https://www.tdk-electronics.tdk.com/download/540216/d6940b239127a8bab71b22168746021b/pdf-n87.pdf,2025-06,2026-08-30,Typical density.
tdk_n87,high_resistivity_ferrite,MnZn ferrite,SIFERRIT N87,electrical_resistivity_ohm_m,10.0,ohm m,not specified,not specified,TDK Electronics AG,SIFERRIT material N87,https://www.tdk-electronics.tdk.com/download/540216/d6940b239127a8bab71b22168746021b/pdf-n87.pdf,2025-06,2026-08-30,Manufacturer material value.
tdk_n87,high_resistivity_ferrite,MnZn ferrite,SIFERRIT N87,initial_permeability,2200.0,1,25 degC,small-signal initial permeability,TDK Electronics AG,SIFERRIT material N87,https://www.tdk-electronics.tdk.com/download/540216/d6940b239127a8bab71b22168746021b/pdf-n87.pdf,2025-06,2026-08-30,Not valid as a universal large-signal permeability.
tdk_n87,high_resistivity_ferrite,MnZn ferrite,SIFERRIT N87,recommended_frequency_min_hz,25000.0,Hz,manufacturer application range,power-transformer material,TDK Electronics AG,SIFERRIT material N87,https://www.tdk-electronics.tdk.com/download/540216/d6940b239127a8bab71b22168746021b/pdf-n87.pdf,2025-06,2026-08-30,Lower edge of the published preferred range.
tdk_n87,high_resistivity_ferrite,MnZn ferrite,SIFERRIT N87,recommended_frequency_max_hz,500000.0,Hz,manufacturer application range,power-transformer material,TDK Electronics AG,SIFERRIT material N87,https://www.tdk-electronics.tdk.com/download/540216/d6940b239127a8bab71b22168746021b/pdf-n87.pdf,2025-06,2026-08-30,Upper edge of the published preferred range.
vacodym_902_tp,permanent_magnet,NdFeB,VACODYM 902 TP,remanence_t,1.4,T,room temperature,minimum remanence,VACUUMSCHMELZE GmbH & Co. KG,VACODYM 902 TP and VACODYM/VACOMAX product information,https://vacuumschmelze.com/03_Documents/Brochures/Product%20Information%20VACODYM-VACOMAX%20en.pdf,2026-03,2026-08-30,Current manufacturer minimum for transverse-pressed grade.
vacodym_902_tp,permanent_magnet,NdFeB,VACODYM 902 TP,intrinsic_coercivity_a_m,1190000.0,A/m,room temperature,minimum intrinsic coercivity HcJ,VACUUMSCHMELZE GmbH & Co. KG,VACODYM 902 TP and VACODYM/VACOMAX product information,https://vacuumschmelze.com/03_Documents/Brochures/Product%20Information%20VACODYM-VACOMAX%20en.pdf,2026-03,2026-08-30,"Demagnetization margin also depends on shape, orientation, and temperature."
vacodym_902_tp,permanent_magnet,NdFeB,VACODYM 902 TP,density_kg_m3,7600.0,kg/m^3,20 degC,not applicable,VACUUMSCHMELZE GmbH & Co. KG,VACODYM 902 TP and VACODYM/VACOMAX product information,https://vacuumschmelze.com/03_Documents/Brochures/Product%20Information%20VACODYM-VACOMAX%20en.pdf,2026-03,2026-08-30,Representative VACODYM family typical density; family range is about 7.5-7.8 g/cm^3.
vacodym_902_tp,permanent_magnet,NdFeB,VACODYM 902 TP,consult_manufacturer_above_temperature_c,150.0,degC,not applicable,family application guidance,VACUUMSCHMELZE GmbH & Co. KG,VACODYM 902 TP and VACODYM/VACOMAX product information,https://vacuumschmelze.com/03_Documents/Brochures/Product%20Information%20VACODYM-VACOMAX%20en.pdf,2026-03,2026-08-30,Manufacturer advises consultation for VACODYM applications above 150 degC; this is not a grade-specific guaranteed maximum.
vacoflux_50,saturated_soft_ferromagnet,49% Co-Fe,VACOFLUX 50 solid material,saturation_polarization_t,2.3,T,room temperature,solid material; saturation polarization,VACUUMSCHMELZE GmbH & Co. KG,VACOFLUX 50 product information,https://vacuumschmelze.com/03_Documents/Brochures/Datasheet%20%20VACOFLUX%2050.pdf,2022-07,2026-08-30,Typical value; saturation is not guaranteed by geometry.
vacoflux_50,saturated_soft_ferromagnet,49% Co-Fe,VACOFLUX 50 solid material,density_kg_m3,8120.0,kg/m^3,room temperature,not applicable,VACUUMSCHMELZE GmbH & Co. KG,VACOFLUX 50 product information,https://vacuumschmelze.com/03_Documents/Brochures/Datasheet%20%20VACOFLUX%2050.pdf,2022-07,2026-08-30,Typical mass density.
vacoflux_50,saturated_soft_ferromagnet,49% Co-Fe,VACOFLUX 50 solid material,electrical_resistivity_ohm_m,4.2e-07,ohm m,room temperature,not specified,VACUUMSCHMELZE GmbH & Co. KG,VACOFLUX 50 product information,https://vacuumschmelze.com/03_Documents/Brochures/Datasheet%20%20VACOFLUX%2050.pdf,2022-07,2026-08-30,0.42 micro-ohm metre.
vacoflux_50,saturated_soft_ferromagnet,49% Co-Fe,VACOFLUX 50 solid material,maximum_permeability,7000.0,1,room temperature,final annealed solid material,VACUUMSCHMELZE GmbH & Co. KG,VACOFLUX 50 product information,https://vacuumschmelze.com/03_Documents/Brochures/Datasheet%20%20VACOFLUX%2050.pdf,2022-07,2026-08-30,"Maximum permeability, not an incremental permeability at saturation."
vacoflux_50,saturated_soft_ferromagnet,49% Co-Fe,VACOFLUX 50 solid material,curie_temperature_c,950.0,degC,not applicable,not applicable,VACUUMSCHMELZE GmbH & Co. KG,VACOFLUX 50 product information,https://vacuumschmelze.com/03_Documents/Brochures/Datasheet%20%20VACOFLUX%2050.pdf,2022-07,2026-08-30,Curie temperature; not an allowable operating temperature.
